DATE,WALCL
12/18/2002,719542
12/25/2002,732059
1/1/2003,730994
1/8/2003,723762
1/15/2003,720074
1/22/2003,735953
1/29/2003,712809
2/5/2003,719643
2/12/2003,713281
2/19/2003,730400
2/26/2003,721980
3/5/2003,722649
3/12/2003,717014
3/19/2003,729923
3/26/2003,725019
4/2/2003,732452
4/9/2003,727826
4/16/2003,745838
4/23/2003,732222
4/30/2003,746294
5/7/2003,733466
5/14/2003,740371
5/21/2003,734699
5/28/2003,744896
6/4/2003,731667
6/11/2003,743236
6/18/2003,735926
6/25/2003,744018
7/2/2003,740126
7/9/2003,744430
7/16/2003,737765
7/23/2003,745665
7/30/2003,740295
8/6/2003,734018
8/13/2003,735386
8/20/2003,750825
8/27/2003,740637
9/3/2003,750461
9/10/2003,737234
9/17/2003,743939
9/24/2003,741193
10/1/2003,753155
10/8/2003,737108
10/15/2003,754229
10/22/2003,743578
10/29/2003,747272
11/5/2003,744116
11/12/2003,745604
11/19/2003,744521
11/26/2003,756964
12/3/2003,749981
12/10/2003,756585
12/17/2003,753919
12/24/2003,767012
12/31/2003,771551
1/7/2004,755829
1/14/2004,752812
1/21/2004,775833
1/28/2004,755279
2/4/2004,754153
2/11/2004,750999
2/18/2004,758759
2/25/2004,750666
3/3/2004,754867
3/10/2004,749950
3/17/2004,760638
3/24/2004,751510
3/31/2004,760725
4/7/2004,754083
4/14/2004,763734
4/21/2004,757984
4/28/2004,772927
5/5/2004,758838
5/12/2004,764835
5/19/2004,756874
5/26/2004,771108
6/2/2004,764090
6/9/2004,772187
6/16/2004,761834
6/23/2004,775261
6/30/2004,779578
7/7/2004,778163
7/14/2004,775536
7/21/2004,776764
7/28/2004,773916
8/4/2004,772085
8/11/2004,769265
8/18/2004,767595
8/25/2004,775437
9/1/2004,785273
9/8/2004,788602
9/15/2004,789128
9/22/2004,782124
9/29/2004,786330
10/6/2004,781777
10/13/2004,795483
10/20/2004,784954
10/27/2004,791336
11/3/2004,790552
11/10/2004,800473
11/17/2004,794090
11/24/2004,809956
12/1/2004,807063
12/8/2004,808495
12/15/2004,807028
12/22/2004,811333
12/29/2004,810944
1/5/2005,815702
1/12/2005,798455
1/19/2005,806960
1/26/2005,807262
2/2/2005,804746
2/9/2005,797299
2/16/2005,795606
2/23/2005,804576
3/2/2005,801252
3/9/2005,799250
3/16/2005,807211
3/23/2005,797094
3/30/2005,807551
4/6/2005,797327
4/13/2005,805707
4/20/2005,801793
4/27/2005,809797
5/4/2005,802412
5/11/2005,808378
5/18/2005,801546
5/25/2005,810160
6/1/2005,817335
6/8/2005,814172
6/15/2005,811198
6/22/2005,810429
6/29/2005,810082
7/6/2005,821556
7/13/2005,808861
7/20/2005,816804
7/27/2005,814259
8/3/2005,818841
8/10/2005,808544
8/17/2005,813774
8/24/2005,811313
8/31/2005,823237
9/7/2005,822500
9/14/2005,823590
9/21/2005,812926
9/28/2005,823771
10/5/2005,817137
10/12/2005,826306
10/19/2005,814281
10/26/2005,819105
11/2/2005,814571
11/9/2005,824991
11/16/2005,823263
11/23/2005,833124
11/30/2005,835059
12/7/2005,833250
12/14/2005,830950
12/21/2005,848317
12/28/2005,847700
1/4/2006,851856
1/11/2006,829357
1/18/2006,836042
1/25/2006,828901
2/1/2006,831808
2/8/2006,827613
2/15/2006,835240
2/22/2006,840555
3/1/2006,839356
3/8/2006,839234
3/15/2006,843010
3/22/2006,838003
3/29/2006,833675
4/5/2006,834589
4/12/2006,836862
4/19/2006,836352
4/26/2006,844572
5/3/2006,843867
5/10/2006,838405
5/17/2006,838153
5/24/2006,840251
5/31/2006,851580
6/7/2006,849074
6/14/2006,845869
6/21/2006,844773
6/28/2006,844436
7/5/2006,851659
7/12/2006,844391
7/19/2006,849894
7/26/2006,841552
8/2/2006,850263
8/9/2006,840006
8/16/2006,842876
8/23/2006,837987
8/30/2006,850925
9/6/2006,848594
9/13/2006,840886
9/20/2006,838192
9/27/2006,849971
10/4/2006,842296
10/11/2006,859339
10/18/2006,844200
10/25/2006,852648
11/1/2006,855536
11/8/2006,858630
11/15/2006,855551
11/22/2006,865126
11/29/2006,856671
12/6/2006,862178
12/13/2006,853851
12/20/2006,865010
12/27/2006,869988
1/3/2007,874626
1/10/2007,854819
1/17/2007,859363
1/24/2007,851755
1/31/2007,865730
2/7/2007,855057
2/14/2007,867199
2/21/2007,869235
2/28/2007,877409
3/7/2007,864505
3/14/2007,876108
3/21/2007,863067
3/28/2007,869803
4/4/2007,862319
4/11/2007,865441
4/18/2007,861335
4/25/2007,879686
5/2/2007,890857
5/9/2007,875270
5/16/2007,859559
5/23/2007,873935
5/30/2007,876986
6/6/2007,872706
6/13/2007,864989
6/20/2007,866089
6/27/2007,865105
7/4/2007,876611
7/11/2007,869407
7/18/2007,872916
7/25/2007,863890
8/1/2007,870261
8/8/2007,865453
8/15/2007,864931
8/22/2007,862775
8/29/2007,872873
9/5/2007,871156
9/12/2007,886314
9/19/2007,867732
9/26/2007,889900
10/3/2007,869051
10/10/2007,886363
10/17/2007,869509
10/24/2007,881395
10/31/2007,883385
11/7/2007,885724
11/14/2007,889537
11/21/2007,891028
11/28/2007,879417
12/5/2007,882764
12/12/2007,881750
12/19/2007,887983
12/26/2007,890662
1/2/2008,922187
1/9/2008,880754
1/16/2008,893581
1/23/2008,877253
1/30/2008,900264
2/6/2008,871022
2/13/2008,883005
2/20/2008,878949
2/27/2008,893825
3/5/2008,881208
3/12/2008,896565
3/19/2008,888646
3/26/2008,893965
4/2/2008,883708
4/9/2008,893029
4/16/2008,881904
4/23/2008,885781
4/30/2008,888131
5/7/2008,889228
5/14/2008,880175
5/21/2008,898487
5/28/2008,904054
6/4/2008,895939
6/11/2008,890610
6/18/2008,902304
6/25/2008,892713
7/2/2008,902962
7/9/2008,898034
7/16/2008,910681
7/23/2008,899665
7/30/2008,918625
8/6/2008,901710
8/13/2008,914632
8/20/2008,898611
8/27/2008,909982
9/3/2008,905253
9/10/2008,925725
9/17/2008,995093
9/24/2008,1211825
10/1/2008,1503989
10/8/2008,1591587
10/15/2008,1770809
10/22/2008,1802602
10/29/2008,1969086
11/5/2008,2074205
11/12/2008,2212852
11/19/2008,2187137
11/26/2008,2106117
12/3/2008,2136924
12/10/2008,2250012
12/17/2008,2254983
12/24/2008,2232311
12/31/2008,2239457
1/7/2009,2121439
1/14/2009,2049714
1/21/2009,2037112
1/28/2009,1927082
2/4/2009,1851437
2/11/2009,1843400
2/18/2009,1915562
2/25/2009,1916115
3/4/2009,1901317
3/11/2009,1899514
3/18/2009,2066942
3/25/2009,2071556
4/1/2009,2078936
4/8/2009,2088573
4/15/2009,2186498
4/22/2009,2196812
4/29/2009,2066712
5/6/2009,2079758
5/13/2009,2196351
5/20/2009,2181632
5/27/2009,2080115
6/3/2009,2077695
6/10/2009,2052297
6/17/2009,2072527
6/24/2009,2025571
7/1/2009,2005627
7/8/2009,1992740
7/15/2009,2072451
7/22/2009,2039001
7/29/2009,2000547
8/5/2009,1989203
8/12/2009,2014899
8/19/2009,2060641
8/26/2009,2074902
9/2/2009,2083720
9/9/2009,2087946
9/16/2009,2139783
9/23/2009,2158631
9/30/2009,2141020
10/7/2009,2138086
10/14/2009,2192787
10/21/2009,2201119
10/28/2009,2161537
11/4/2009,2165067
11/11/2009,2135035
11/18/2009,2208721
11/25/2009,2206359
12/2/2009,2204074
12/9/2009,2186383
12/16/2009,2235763
12/23/2009,2235803
12/30/2009,2234067
1/6/2010,2235304
1/13/2010,2291700
1/20/2010,2251806
1/27/2010,2246886
2/3/2010,2249319
2/10/2010,2256679
2/17/2010,2277574
2/24/2010,2286127
3/3/2010,2280147
3/10/2010,2282474
3/17/2010,2307997
3/24/2010,2313149
3/31/2010,2307150
4/7/2010,2307575
4/14/2010,2339345
4/21/2010,2337556
4/28/2010,2330472
5/5/2010,2326164
5/12/2010,2336103
5/19/2010,2350890
5/26/2010,2334041
6/2/2010,2336216
6/9/2010,2331529
6/16/2010,2344316
6/23/2010,2344497
6/30/2010,2330851
7/7/2010,2332017
7/14/2010,2340717
7/21/2010,2332322
7/28/2010,2325298
8/4/2010,2326479
8/11/2010,2327533
8/18/2010,2313662
8/25/2010,2301015
9/1/2010,2301996
9/8/2010,2305802
9/15/2010,2296079
9/22/2010,2307171
9/29/2010,2298691
10/6/2010,2308092
10/13/2010,2309885
10/20/2010,2305227
10/27/2010,2295392
11/3/2010,2300353
11/10/2010,2312768
11/17/2010,2314757
11/24/2010,2346001
12/1/2010,2346920
12/8/2010,2382294
12/15/2010,2385754
12/22/2010,2427921
12/29/2010,2420570
1/5/2011,2436064
1/12/2011,2468131
1/19/2011,2425164
1/26/2011,2443527
2/2/2011,2469419
2/9/2011,2500481
2/16/2011,2508868
2/23/2011,2533221
3/2/2011,2545119
3/9/2011,2577076
3/16/2011,2583046
3/23/2011,2601341
3/30/2011,2622523
4/6/2011,2648676
4/13/2011,2665408
4/20/2011,2685782
4/27/2011,2690985
5/4/2011,2718757
5/11/2011,2744498
5/18/2011,2758009
5/25/2011,2774996
6/1/2011,2788723
6/8/2011,2811206
6/15/2011,2827549
6/22/2011,2856403
6/29/2011,2865251
7/6/2011,2870103
7/13/2011,2878074
7/20/2011,2871301
7/27/2011,2863576
8/3/2011,2867215
8/10/2011,2872423
8/17/2011,2857906
8/24/2011,2859433
8/31/2011,2853888
9/7/2011,2858660
9/14/2011,2863540
9/21/2011,2857747
9/28/2011,2850921
10/5/2011,2859701
10/12/2011,2860822
10/19/2011,2852390
10/26/2011,2845685
11/2/2011,2822034
11/9/2011,2839786
11/16/2011,2831576
11/23/2011,2821980
11/30/2011,2814235
12/7/2011,2820691
12/14/2011,2902488
12/21/2011,2916085
12/28/2011,2926095
1/4/2012,2917689
1/11/2012,2899149
1/18/2012,2919423
1/25/2012,2919545
2/1/2012,2924947
2/8/2012,2928275
2/15/2012,2937893
2/22/2012,2932813
2/29/2012,2925722
3/7/2012,2884747
3/14/2012,2893560
3/21/2012,2892646
3/28/2012,2878137
4/4/2012,2865478
4/11/2012,2867200
4/18/2012,2875470
4/25/2012,2866561
5/2/2012,2864280
5/9/2012,2864150
5/16/2012,2850984
5/23/2012,2859495
5/30/2012,2842654
6/6/2012,2852018
6/13/2012,2869071
6/20/2012,2870846
6/27/2012,2863547
7/4/2012,2865858
7/11/2012,2866279
7/18/2012,2855807
7/25/2012,2846757
8/1/2012,2851118
8/8/2012,2856181
8/15/2012,2833317
8/22/2012,2825661
8/29/2012,2812806
9/5/2012,2822169
9/12/2012,2823448
9/19/2012,2821574
9/26/2012,2804457
10/3/2012,2808512
10/10/2012,2811623
10/17/2012,2846920
10/24/2012,2840964
10/31/2012,2823137
11/7/2012,2830791
11/14/2012,2877244
11/21/2012,2871161
11/28/2012,2851362
12/5/2012,2859807
12/12/2012,2917260
12/19/2012,2920231
12/26/2012,2907300
1/2/2013,2917189
1/9/2013,2928728
1/16/2013,2963812
1/23/2013,3011697
1/30/2013,3008704
2/6/2013,3014975
2/13/2013,3074225
2/20/2013,3095150
2/27/2013,3090600
3/6/2013,3108805
3/13/2013,3165396
3/20/2013,3206888
3/27/2013,3202256
4/3/2013,3215432
4/10/2013,3227762
4/17/2013,3295109
4/24/2013,3318649
5/1/2013,3317194
5/8/2013,3324615
5/15/2013,3354269
5/22/2013,3398713
5/29/2013,3385128
6/5/2013,3400183
6/12/2013,3410842
6/19/2013,3470530
6/26/2013,3478672
7/3/2013,3492742
7/10/2013,3504095
7/17/2013,3537861
7/24/2013,3574574
7/31/2013,3571797
8/7/2013,3585359
8/14/2013,3646323
8/21/2013,3645668
8/28/2013,3644456
9/4/2013,3654182
9/11/2013,3662035
9/18/2013,3722192
9/25/2013,3734018
10/2/2013,3747387
10/9/2013,3758663
10/16/2013,3813599
10/23/2013,3839033
10/30/2013,3843396
11/6/2013,3851623
11/13/2013,3907424
11/20/2013,3906620
11/27/2013,3925876
12/4/2013,3932626
12/11/2013,3993955
12/18/2013,4008062
12/25/2013,4032575
1/1/2014,4023640
1/8/2014,4028185
1/15/2014,4071528
1/22/2014,4097914
1/29/2014,4102138
2/5/2014,4109285
2/12/2014,4119474
2/19/2014,4149224
2/26/2014,4159972
3/5/2014,4171762
3/12/2014,4181361
3/19/2014,4222081
3/26/2014,4226971
4/2/2014,4236441
4/9/2014,4244188
4/16/2014,4283967
4/23/2014,4296339
4/30/2014,4296049
5/7/2014,4303143
5/14/2014,4336649
5/21/2014,4327560
5/28/2014,4322654
6/4/2014,4330917
6/11/2014,4340904
6/18/2014,4368168
6/25/2014,4368348
7/2/2014,4377031
7/9/2014,4383401
7/16/2014,4398201
7/23/2014,4410746
7/30/2014,4406637
8/6/2014,4410111
8/13/2014,4431923
8/20/2014,4412924
8/27/2014,4413736
9/3/2014,4415587
9/10/2014,4421408
9/17/2014,4449588
9/24/2014,4459050
10/1/2014,4450260
10/8/2014,4455403
10/15/2014,4474360
10/22/2014,4481616
10/29/2014,4486754
11/5/2014,4486585
11/12/2014,4488895
11/19/2014,4492759
11/26/2014,4485931
12/3/2014,4486190
12/10/2014,4488865
12/17/2014,4502247
12/24/2014,4509462
12/31/2014,4497660
1/7/2015,4499524
1/14/2015,4516077
1/21/2015,4512936
1/28/2015,4500064
2/4/2015,4500348
2/11/2015,4501685
2/18/2015,4496851
2/25/2015,4486725
3/4/2015,4487583
3/11/2015,4489279
3/18/2015,4495888
3/25/2015,4480603
4/1/2015,4481799
4/8/2015,4483419
4/15/2015,4485366
4/22/2015,4489695
4/29/2015,4471499
5/6/2015,4472703
5/13/2015,4501188
5/20/2015,4480384
5/27/2015,4463981
6/3/2015,4465360
6/10/2015,4468005
6/17/2015,4487817
6/24/2015,4495055
7/1/2015,4479130
7/8/2015,4481289
7/15/2015,4493605
7/22/2015,4500503
7/29/2015,4485480
8/5/2015,4486329
8/12/2015,4489250
8/19/2015,4487208
8/26/2015,4475105
9/2/2015,4475886
9/9/2015,4478213
9/16/2015,4487809
9/23/2015,4497484
9/30/2015,4484111
10/7/2015,4486185
10/14/2015,4504704
10/21/2015,4501372
10/28/2015,4489339
11/4/2015,4489702
11/11/2015,4492012
11/18/2015,4486721
11/25/2015,4477088
12/2/2015,4478069
12/9/2015,4480436
12/16/2015,4489593
12/23/2015,4496523
12/30/2015,4486587
1/6/2016,4486606
1/13/2016,4501695
1/20/2016,4488840
1/27/2016,4482349
2/3/2016,4483495
2/10/2016,4486278
2/17/2016,4483629
2/24/2016,4489796
3/2/2016,4478485
3/9/2016,4481083
3/16/2016,4486333
3/23/2016,4492857
3/30/2016,4482840
4/6/2016,4484069
4/13/2016,4499729
4/20/2016,4490131
4/27/2016,4474665
5/4/2016,4477270
5/11/2016,4478411
5/18/2016,4473741
5/25/2016,4461111
6/1/2016,4461393
6/8/2016,4463542
6/15/2016,4472817
6/22/2016,4482009
6/29/2016,4466482
7/6/2016,4470605
7/13/2016,4472202
7/20/2016,4480973
7/27/2016,4464498
8/3/2016,4466793
8/10/2016,4468929
8/17/2016,4466476
8/24/2016,4473840
8/31/2016,4457907
9/7/2016,4459394
9/14/2016,4481635
9/21/2016,4473032
9/28/2016,4452002
10/5/2016,4459407
10/12/2016,4457698
10/19/2016,4467382
10/26/2016,4454326
11/2/2016,4453087
11/9/2016,4455087
11/16/2016,4453633
11/23/2016,4465782
11/30/2016,4446307
12/7/2016,4448618
12/14/2016,4470973
12/21/2016,4469089
12/28/2016,4451451
1/4/2017,4453101
1/11/2017,4452509
1/18/2017,4460758
1/25/2017,4452838
2/1/2017,4453881
2/8/2017,4456236
2/15/2017,4454676
2/22/2017,4468702
3/1/2017,4458018
3/8/2017,4459840
3/15/2017,4469577
3/22/2017,4478236
3/29/2017,4469618
4/5/2017,4474634
4/12/2017,4484492
4/19/2017,4479270
4/26/2017,4470142
5/3/2017,4471246
5/10/2017,4473459
5/17/2017,4467108
5/24/2017,4470852
5/31/2017,4459914
6/7/2017,4462443
6/14/2017,4476269
6/21/2017,4474257
6/28/2017,4463347
7/5/2017,4467272
7/12/2017,4466702
7/19/2017,4476903
7/26/2017,4465284
8/2/2017,4466846
8/9/2017,4469083
8/16/2017,4462871
8/23/2017,4463837
8/30/2017,4452360
9/6/2017,4453474
9/13/2017,4471174
9/20/2017,4458576
9/27/2017,4455661
10/4/2017,4460422
10/11/2017,4459415
10/18/2017,4469723
10/25/2017,4461117
11/1/2017,4455887
11/8/2017,4458552
11/15/2017,4448289
11/22/2017,4450615
11/29/2017,4438592
12/6/2017,4437148
12/13/2017,4452726
12/20/2017,4447470
12/27/2017,4448680
1/3/2018,4443718
1/10/2018,4446062
1/17/2018,4439145
1/24/2018,4441317
1/31/2018,4419225
2/7/2018,4420745
2/14/2018,4434863
2/21/2018,4411660
2/28/2018,4393401
3/7/2018,4396097
3/14/2018,4407258
3/21/2018,4401222
3/28/2018,4392198
4/4/2018,4386104
4/11/2018,4383684
4/18/2018,4385903
4/25/2018,4372886
5/2/2018,4356129
5/9/2018,4358207
5/16/2018,4337609
5/23/2018,4337301
5/30/2018,4327519
6/6/2018,4319191
6/13/2018,4324906
6/20/2018,4315896
6/27/2018,4305491
7/4/2018,4289764
7/11/2018,4291201
7/18/2018,4291615
7/25/2018,4277681
8/1/2018,4255653
8/8/2018,4258030
8/15/2018,4228924
8/22/2018,4228818
8/29/2018,4218914
9/5/2018,4208496
9/12/2018,4210812
9/19/2018,4208059
9/26/2018,4192909
10/3/2018,4174704
10/10/2018,4176906
10/17/2018,4175446
10/24/2018,4173070
10/31/2018,4139731
11/7/2018,4141936
11/14/2018,4145892
11/21/2018,4106198
11/28/2018,4097170
12/5/2018,4086044
12/12/2018,4088314
12/19/2018,4084274
12/26/2018,4075636
1/2/2019,4058378
1/9/2019,4056563
1/16/2019,4050044
1/23/2019,4047052
1/30/2019,4039678
2/6/2019,4026350
2/13/2019,4028431
2/20/2019,3981420
2/27/2019,3974590
3/6/2019,3969134
3/13/2019,3971559
3/20/2019,3962748
3/27/2019,3955617
4/3/2019,3935509
4/10/2019,3936784
4/17/2019,3931827
4/24/2019,3928273
5/1/2019,3889691
5/8/2019,3892216
5/15/2019,3864749
5/22/2019,3860435
5/29/2019,3851444
6/5/2019,3847645
6/12/2019,3849955
6/19/2019,3844016
6/26/2019,3826817
7/3/2019,3813198
7/10/2019,3815038
7/17/2019,3808110
7/24/2019,3803436
7/31/2019,3779102
8/7/2019,3781543
8/14/2019,3786018
8/21/2019,3764866
8/28/2019,3759946
9/4/2019,3761508
9/11/2019,3769673
9/18/2019,3844695
9/25/2019,3857715
10/2/2019,3945831
10/9/2019,3949955
10/16/2019,3966471
10/23/2019,3968700
10/30/2019,4019823
11/6/2019,4039443
11/13/2019,4047882
11/20/2019,4030249
11/27/2019,4052875
12/4/2019,4065696
12/11/2019,4095491
12/18/2019,4137052
12/25/2019,4165591
1/1/2020,4173626
1/8/2020,4149544
1/15/2020,4175850
1/22/2020,4145912
1/29/2020,4151630
2/5/2020,4166707
2/12/2020,4182689
2/19/2020,4171570
2/26/2020,4158637
3/4/2020,4241507
3/11/2020,4311911
3/18/2020,4668212
3/25/2020,5254278
4/1/2020,5811607
4/8/2020,6083141
4/15/2020,6367887
4/22/2020,6573136
4/29/2020,6655929
5/6/2020,6721420
5/13/2020,6934227
5/20/2020,7037258
5/27/2020,7097316
6/3/2020,7165217
6/10/2020,7168936
6/17/2020,7094690
6/24/2020,7082302
7/1/2020,7009040
7/8/2020,6920716
7/15/2020,6958604
7/22/2020,6964755
7/29/2020,6949032
8/5/2020,6945237
8/12/2020,6957277
8/19/2020,7010637
8/26/2020,6990418
9/2/2020,7017492
9/9/2020,7010614
9/16/2020,7064475
9/23/2020,7093161
9/30/2020,7056129
10/7/2020,7074649
10/14/2020,7151426
10/21/2020,7177265
10/28/2020,7146306
11/4/2020,7157479
11/11/2020,7175417
11/18/2020,7243080
11/25/2020,7216480
12/2/2020,7222414
12/9/2020,7242658
12/16/2020,7362592
12/23/2020,7404039
12/30/2020,7363351
1/6/2021,7334809
1/13/2021,7333968
1/20/2021,7414942
1/27/2021,7404926
2/3/2021,7410598
2/10/2021,7442225
2/17/2021,7557402
2/24/2021,7590111
3/3/2021,7557524
3/10/2021,7579901
3/17/2021,7693506
3/24/2021,7719622
3/31/2021,7688988
4/7/2021,7708882
4/14/2021,7793104
4/21/2021,7820948
4/28/2021,7780962
5/5/2021,7810486
5/12/2021,7830663
5/19/2021,7922883
5/26/2021,7903541
6/2/2021,7935703
6/9/2021,7952327
6/16/2021,8064257
6/23/2021,8101945
6/30/2021,8078544
7/7/2021,8097773
7/14/2021,8201651
7/21/2021,8240530
7/28/2021,8221473
8/4/2021,8235073
8/11/2021,8257159
8/18/2021,8342598
8/25/2021,8332743
9/1/2021,8349173
9/8/2021,8357314
9/15/2021,8448770
9/22/2021,8489824
9/29/2021,8447981
10/6/2021,8464032
10/13/2021,8480942
10/20/2021,8564943
10/27/2021,8556181
11/3/2021,8574871
11/10/2021,8663117
11/17/2021,8674970
11/24/2021,8681771
12/1/2021,8650402
12/8/2021,8664524
12/15/2021,8756666
12/22/2021,8790495
12/29/2021,8757460
1/5/2022,8765721
1/12/2022,8788278
1/19/2022,8867834
1/26/2022,8860485
2/2/2022,8873211
2/9/2022,8878009
2/16/2022,8911033
2/23/2022,8928129
3/2/2022,8904455
3/9/2022,8910748
3/16/2022,8954306
3/23/2022,8962474
3/30/2022,8937142
4/6/2022,8937592
4/13/2022,8965487
4/20/2022,8955851
4/27/2022,8939199
5/4/2022,8939972
5/11/2022,8942008
5/18/2022,8945898
5/25/2022,8914281
6/1/2022,8915050
6/8/2022,8918254
6/15/2022,8932420
6/22/2022,8934346
6/29/2022,8913553
7/6/2022,8891851
7/13/2022,8895867
7/20/2022,8899213
7/27/2022,8890004
8/3/2022,8874620
8/10/2022,8879138
8/17/2022,8849762
8/24/2022,8851436
8/31/2022,8826093
9/7/2022,8822401
9/14/2022,8832759
9/21/2022,8816802
9/28/2022,8795567
10/6/2022,8822401
10/13/2022,8758969
10/19/2022,8743922
10/27/2022,8723090
11/3/2022,8676870
11/10/2022,8678886
11/16/2022,8625620
11/23/2022,8621390
