DATE,WTREGEN
1/8/1986,4.14
1/15/1986,5.032
1/22/1986,13.856
1/29/1986,17.487
2/5/1986,12.475
2/12/1986,6.854
2/19/1986,6.167
2/26/1986,6.922
3/5/1986,4.477
3/12/1986,3.496
3/19/1986,3.044
3/26/1986,3.61
4/2/1986,2.926
4/9/1986,3.365
4/16/1986,3.393
4/23/1986,2.221
4/30/1986,6.769
5/7/1986,7.246
5/14/1986,4.591
5/21/1986,3.972
5/28/1986,3.58
6/4/1986,2.687
6/11/1986,2.475
6/18/1986,3.075
6/25/1986,3.428
7/2/1986,2.79
7/9/1986,3.036
7/16/1986,3.992
7/23/1986,3.633
7/30/1986,3.862
8/6/1986,3.524
8/13/1986,3.695
8/20/1986,3.454
8/27/1986,3.284
9/3/1986,2.095
9/10/1986,3.424
9/17/1986,4.098
9/24/1986,7.625
10/1/1986,8.63
10/8/1986,3.424
10/15/1986,2.701
10/22/1986,3.552
10/29/1986,3.332
11/5/1986,2.919
11/12/1986,3.73
11/19/1986,3.696
11/26/1986,2.474
12/3/1986,2.606
12/10/1986,2.794
12/17/1986,3.524
12/24/1986,3.391
12/31/1986,5.34
1/7/1987,5.959
1/14/1987,4.306
1/21/1987,9.302
1/28/1987,16.853
2/4/1987,12.895
2/11/1987,3.832
2/18/1987,4.271
2/25/1987,4.208
3/4/1987,3.328
3/11/1987,3.391
3/18/1987,3.255
3/25/1987,2.865
4/1/1987,3.025
4/8/1987,3.923
4/15/1987,3.815
4/22/1987,4.758
4/29/1987,13.312
5/6/1987,22.844
5/13/1987,21.006
5/20/1987,14.94
5/27/1987,12.684
6/3/1987,5.067
6/10/1987,3.712
6/17/1987,3.879
6/24/1987,14.57
7/1/1987,15.561
7/8/1987,4.985
7/15/1987,5.685
7/22/1987,5.316
7/29/1987,3.872
8/5/1987,5.261
8/12/1987,3.106
8/19/1987,3.174
8/26/1987,3.116
9/2/1987,3.496
9/9/1987,3.698
9/16/1987,4.207
9/23/1987,21.647
9/30/1987,14.355
10/7/1987,5.341
10/14/1987,3.281
10/21/1987,12.191
10/28/1987,13.822
11/4/1987,7.367
11/11/1987,3.958
11/18/1987,3.836
11/25/1987,3.325
12/2/1987,3.403
12/9/1987,3.792
12/16/1987,4.817
12/23/1987,4.219
12/30/1987,3.719
1/6/1988,4.773
1/13/1988,4.773
1/20/1988,4.773
1/27/1988,4.773
2/3/1988,4.773
2/10/1988,4.773
2/17/1988,4.773
2/24/1988,4.773
3/2/1988,4.773
3/9/1988,4.773
3/16/1988,4.773
3/23/1988,4.773
3/30/1988,4.773
4/6/1988,4.773
4/13/1988,4.773
4/20/1988,4.773
4/27/1988,4.773
5/4/1988,4.773
5/11/1988,4.773
5/18/1988,4.773
5/25/1988,4.773
6/1/1988,4.773
6/8/1988,4.773
6/15/1988,4.773
6/22/1988,4.773
6/29/1988,4.773
7/6/1988,4.773
7/13/1988,4.773
7/20/1988,4.773
7/27/1988,4.773
8/3/1988,4.773
8/10/1988,4.773
8/17/1988,4.773
8/24/1988,4.773
8/31/1988,4.773
9/7/1988,4.773
9/14/1988,4.773
9/21/1988,4.773
9/28/1988,4.773
10/5/1988,4.773
10/12/1988,4.773
10/19/1988,4.773
10/26/1988,4.773
11/2/1988,4.773
11/9/1988,4.773
11/16/1988,4.773
11/23/1988,4.773
11/30/1988,4.773
12/7/1988,4.773
12/14/1988,4.773
12/21/1988,4.773
12/28/1988,4.773
1/4/1989,4.773
1/11/1989,4.773
1/18/1989,4.773
1/25/1989,4.773
2/1/1989,4.773
2/8/1989,4.773
2/15/1989,4.773
2/22/1989,4.773
3/1/1989,4.773
3/8/1989,4.773
3/15/1989,4.773
3/22/1989,4.22
3/29/1989,5.95
4/5/1989,4.824
4/12/1989,6.463
4/19/1989,6.963
4/26/1989,8.12
5/3/1989,21.985
5/10/1989,23.141
5/17/1989,16.166
5/24/1989,8.706
5/31/1989,5.154
6/7/1989,5.665
6/14/1989,5.397
6/21/1989,9.274
6/28/1989,18.343
7/5/1989,11.214
7/12/1989,6.308
7/19/1989,5.155
7/26/1989,5.025
8/2/1989,5.149
8/9/1989,5.542
8/16/1989,5.747
8/23/1989,4.662
8/30/1989,5.68
9/6/1989,4.819
9/13/1989,4.549
9/20/1989,6.486
9/27/1989,12.316
10/4/1989,10.691
10/11/1989,5.103
10/18/1989,6.154
10/25/1989,5.389
11/1/1989,6.436
11/8/1989,5.361
11/15/1989,4.757
11/22/1989,4.449
11/29/1989,5.093
12/6/1989,5.162
12/13/1989,4.475
12/20/1989,4.402
12/27/1989,4.571
1/3/1990,6.283
1/10/1990,5.416
1/17/1990,4.108
1/24/1990,5.93
1/31/1990,9.55
2/7/1990,6.106
2/14/1990,6.446
2/21/1990,4.783
2/28/1990,6.133
3/7/1990,6.193
3/14/1990,4.928
3/21/1990,5.001
3/28/1990,5.506
4/4/1990,4.455
4/11/1990,4.745
4/18/1990,4.981
4/25/1990,4.022
5/2/1990,4.543
5/9/1990,4.841
5/16/1990,5.037
5/23/1990,5.274
5/30/1990,4.562
6/6/1990,5.185
6/13/1990,4.574
6/20/1990,5.003
6/27/1990,5.364
7/4/1990,5.58
7/11/1990,5.973
7/18/1990,5.108
7/25/1990,5.082
8/1/1990,5.328
8/8/1990,5.763
8/15/1990,5.288
8/22/1990,5.501
8/29/1990,5.219
9/5/1990,5.368
9/12/1990,4.69
9/19/1990,7.57
9/26/1990,6.666
10/3/1990,7.701
10/10/1990,4.461
10/17/1990,5.505
10/24/1990,4.931
10/31/1990,6.274
11/7/1990,6.519
11/14/1990,5.471
11/21/1990,5.375
11/28/1990,4.894
12/5/1990,5.651
12/12/1990,4.148
12/19/1990,5.406
12/26/1990,6.81
1/2/1991,7.987
1/9/1991,6.906
1/16/1991,5.32
1/23/1991,5.494
1/30/1991,14.064
2/6/1991,11.182
2/13/1991,11.187
2/20/1991,9.728
2/27/1991,13.345
3/6/1991,9.192
3/13/1991,5.869
3/20/1991,4.801
3/27/1991,6.131
4/3/1991,8.352
4/10/1991,4.796
4/17/1991,3.78
4/24/1991,5.509
5/1/1991,5.746
5/8/1991,5.222
5/15/1991,4.931
5/22/1991,5.583
5/29/1991,4.644
6/5/1991,5.942
6/12/1991,5.158
6/19/1991,5.977
6/26/1991,5.745
7/3/1991,9.507
7/10/1991,7.081
7/17/1991,6.646
7/24/1991,6.033
7/31/1991,6.47
8/7/1991,5.808
8/14/1991,6.028
8/21/1991,5.138
8/28/1991,5.196
9/4/1991,6.26
9/11/1991,5.809
9/18/1991,8.321
9/25/1991,9.908
10/2/1991,8.398
10/9/1991,5.26
10/16/1991,4.486
10/23/1991,6.493
10/30/1991,5.13
11/6/1991,7.908
11/13/1991,5.832
11/20/1991,5.596
11/27/1991,5.281
12/4/1991,5.921
12/11/1991,5.191
12/18/1991,5.838
12/25/1991,9.723
1/1/1992,13.005
1/8/1992,6.147
1/15/1992,5.455
1/22/1992,6.072
1/29/1992,8.853
2/5/1992,8.599
2/12/1992,6.584
2/19/1992,5.874
2/26/1992,5.139
3/4/1992,5.563
3/11/1992,5.245
3/18/1992,5.906
3/25/1992,5.724
4/1/1992,5.184
4/8/1992,5.438
4/15/1992,4.435
4/22/1992,5.178
4/29/1992,4.781
5/6/1992,4.774
5/13/1992,5.012
5/20/1992,5.07
5/27/1992,5.438
6/3/1992,5.54
6/10/1992,4.916
6/17/1992,6.657
6/24/1992,8.136
7/1/1992,8.434
7/8/1992,6.133
7/15/1992,5.245
7/22/1992,5.231
7/29/1992,5.562
8/5/1992,6.707
8/12/1992,5.445
8/19/1992,5.291
8/26/1992,5.62
9/2/1992,5.744
9/9/1992,5.923
9/16/1992,6.284
9/23/1992,13.697
9/30/1992,21.297
10/7/1992,5.499
10/14/1992,4.555
10/21/1992,4.675
10/28/1992,5.191
11/4/1992,5.622
11/11/1992,5.25
11/18/1992,5.184
11/25/1992,5.787
12/2/1992,5.602
12/9/1992,5.076
12/16/1992,5.002
12/23/1992,7.764
12/30/1992,6.32
1/6/1993,8.36
1/13/1993,5.492
1/20/1993,6.988
1/27/1993,8.761
2/3/1993,11.447
2/10/1993,5.391
2/17/1993,4.791
2/24/1993,4.967
3/3/1993,6.017
3/10/1993,5.395
3/17/1993,5.563
3/24/1993,5.026
3/31/1993,5.243
4/7/1993,5.723
4/14/1993,5.348
4/21/1993,8.135
4/28/1993,4.77
5/5/1993,6.116
5/12/1993,5.646
5/19/1993,5.937
5/26/1993,6.11
6/2/1993,5.984
6/9/1993,4.468
6/16/1993,5.364
6/23/1993,9.667
6/30/1993,16.256
7/7/1993,6.833
7/14/1993,6.822
7/21/1993,6.065
7/28/1993,5.435
8/4/1993,5.934
8/11/1993,5.661
8/18/1993,5.675
8/25/1993,5.97
9/1/1993,5.544
9/8/1993,5.949
9/15/1993,5.117
9/22/1993,16.981
9/29/1993,10.104
10/6/1993,7.518
10/13/1993,5.179
10/20/1993,5.755
10/27/1993,5.13
11/3/1993,5.989
11/10/1993,5.059
11/17/1993,5.605
11/24/1993,5.971
12/1/1993,5.416
12/8/1993,4.482
12/15/1993,5.165
12/22/1993,8.264
12/29/1993,7.116
1/5/1994,9.813
1/12/1994,4.035
1/19/1994,5.647
1/26/1994,8.778
2/2/1994,13.224
2/9/1994,5.96
2/16/1994,4.691
2/23/1994,5.985
3/2/1994,4.435
3/9/1994,5.222
3/16/1994,5.463
3/23/1994,4.971
3/30/1994,4.847
4/6/1994,6.073
4/13/1994,3.965
4/20/1994,6.568
4/27/1994,5.473
5/4/1994,8.992
5/11/1994,6.067
5/18/1994,5.997
5/25/1994,5.287
6/1/1994,4.683
6/8/1994,4.993
6/15/1994,4.826
6/22/1994,7.064
6/29/1994,7.561
7/6/1994,5.917
7/13/1994,6.031
7/20/1994,4.581
7/27/1994,5.373
8/3/1994,5.046
8/10/1994,5.422
8/17/1994,4.78
8/24/1994,5.208
8/31/1994,5.029
9/7/1994,4.514
9/14/1994,5.576
9/21/1994,7.367
9/28/1994,6.195
10/5/1994,6.15
10/12/1994,5.594
10/19/1994,5.112
10/26/1994,5.078
11/2/1994,6.119
11/9/1994,5.503
11/16/1994,5.225
11/23/1994,4.821
11/30/1994,5.351
12/7/1994,4.337
12/14/1994,6.044
12/21/1994,6.697
12/28/1994,6.973
1/4/1995,7.148
1/11/1995,7.421
1/18/1995,6.525
1/25/1995,5.919
2/1/1995,8.63
2/8/1995,6.864
2/15/1995,4.789
2/22/1995,5.707
3/1/1995,5.177
3/8/1995,5.158
3/15/1995,5.175
3/22/1995,6
3/29/1995,4.6
4/5/1995,5.138
4/12/1995,4.978
4/19/1995,6.178
4/26/1995,7.065
5/3/1995,9.402
5/10/1995,4.876
5/17/1995,5.582
5/24/1995,4.823
5/31/1995,5.32
6/7/1995,4.424
6/14/1995,5.286
6/21/1995,11.241
6/28/1995,6.977
7/5/1995,13.727
7/12/1995,5.767
7/19/1995,5.568
7/26/1995,5.616
8/2/1995,6.377
8/9/1995,5.134
8/16/1995,5.221
8/23/1995,5.541
8/30/1995,4.923
9/6/1995,5.083
9/13/1995,4.903
9/20/1995,10.002
9/27/1995,6.651
10/4/1995,6.829
10/11/1995,5.63
10/18/1995,4.941
10/25/1995,5.275
11/1/1995,5.228
11/8/1995,4.948
11/15/1995,6.024
11/22/1995,5.125
11/29/1995,5.614
12/6/1995,5.942
12/13/1995,5.559
12/20/1995,8.633
12/27/1995,7.169
1/3/1996,6.306
1/10/1996,5.313
1/17/1996,5.548
1/24/1996,7.218
1/31/1996,6.963
2/7/1996,5.493
2/14/1996,5.204
2/21/1996,5.137
2/28/1996,3.883
3/6/1996,4.312
3/13/1996,5.507
3/20/1996,7.235
3/27/1996,5.048
4/3/1996,6.017
4/10/1996,5.986
4/17/1996,7.655
4/24/1996,8.251
5/1/1996,8.709
5/8/1996,6.537
5/15/1996,5.673
5/22/1996,5.127
5/29/1996,5.175
6/5/1996,4.276
6/12/1996,5.697
6/19/1996,6.022
6/26/1996,7.184
7/3/1996,6.417
7/10/1996,5.277
7/17/1996,5.464
7/24/1996,5.26
7/31/1996,5.384
8/7/1996,5.069
8/14/1996,4.781
8/21/1996,5.129
8/28/1996,5.272
9/4/1996,5.347
9/11/1996,4.669
9/18/1996,5.754
9/25/1996,7.62
10/2/1996,6.815
10/9/1996,4.529
10/16/1996,4.885
10/23/1996,5.414
10/30/1996,5.228
11/6/1996,5.013
11/13/1996,4.905
11/20/1996,5.039
11/27/1996,4.996
12/4/1996,4.509
12/11/1996,4.926
12/18/1996,7.169
12/25/1996,5.694
1/1/1997,6.326
1/8/1997,4.479
1/15/1997,5.512
1/22/1997,6.524
1/29/1997,7.896
2/5/1997,6.207
2/12/1997,4.829
2/19/1997,5.002
2/26/1997,4.425
3/5/1997,5.149
3/12/1997,5.169
3/19/1997,7.479
3/26/1997,5.376
4/2/1997,5.535
4/9/1997,4.826
4/16/1997,7.837
4/23/1997,8.66
4/30/1997,32.937
5/7/1997,23.899
5/14/1997,14.661
5/21/1997,5.176
5/28/1997,5.053
6/4/1997,4.993
6/11/1997,5.254
6/18/1997,6.831
6/25/1997,11.868
7/2/1997,12.577
7/9/1997,3.902
7/16/1997,4.919
7/23/1997,5.212
7/30/1997,4.877
8/6/1997,5.196
8/13/1997,4.965
8/20/1997,4.444
8/27/1997,4.866
9/3/1997,5.131
9/10/1997,4.712
9/17/1997,6.807
9/24/1997,6.949
10/1/1997,6.687
10/8/1997,5.402
10/15/1997,5.11
10/22/1997,5.527
10/29/1997,5.868
11/5/1997,5.225
11/12/1997,5.338
11/19/1997,5.059
11/26/1997,5.002
12/3/1997,4.762
12/10/1997,4.529
12/17/1997,6.33
12/24/1997,5.001
12/31/1997,4.758
1/7/1998,5.031
1/14/1998,5.253
1/21/1998,9.148
1/28/1998,6.976
2/4/1998,5.696
2/11/1998,5.062
2/18/1998,4.969
2/25/1998,4.4
3/4/1998,5.447
3/11/1998,4.867
3/18/1998,6.294
3/25/1998,5.181
4/1/1998,5.033
4/8/1998,5.044
4/15/1998,6.218
4/22/1998,7.894
4/29/1998,17.944
5/6/1998,8.442
5/13/1998,6.055
5/20/1998,5.428
5/27/1998,5.179
6/3/1998,5.341
6/10/1998,5.031
6/17/1998,6.982
6/24/1998,12.769
7/1/1998,18.717
7/8/1998,5.956
7/15/1998,5.171
7/22/1998,5.155
7/29/1998,5.115
8/5/1998,5.234
8/12/1998,4.839
8/19/1998,5.45
8/26/1998,4.905
9/2/1998,5.4
9/9/1998,5.396
9/16/1998,5.869
9/23/1998,7.144
9/30/1998,6.989
10/7/1998,5.779
10/14/1998,5.48
10/21/1998,5.322
10/28/1998,5.326
11/4/1998,5.03
11/11/1998,5.256
11/18/1998,4.801
11/25/1998,5.026
12/2/1998,5.304
12/9/1998,5.035
12/16/1998,6.324
12/23/1998,5.434
12/30/1998,7.195
1/6/1999,5.992
1/13/1999,5.423
1/20/1999,7.296
1/27/1999,6.963
2/3/1999,6.876
2/10/1999,4.865
2/17/1999,4.223
2/24/1999,4.998
3/3/1999,4.974
3/10/1999,5.087
3/17/1999,6.313
3/24/1999,5.309
3/31/1999,5.16
4/7/1999,5.644
4/14/1999,4.853
4/21/1999,6.79
4/28/1999,7.182
5/5/1999,7.888
5/12/1999,5.307
5/19/1999,5.157
5/26/1999,4.888
6/2/1999,4.897
6/9/1999,4.855
6/16/1999,5.449
6/23/1999,7.023
6/30/1999,6.823
7/7/1999,5.766
7/14/1999,5.264
7/21/1999,5.056
7/28/1999,4.901
8/4/1999,5.105
8/11/1999,5.1
8/18/1999,5.08
8/25/1999,4.851
9/1/1999,5.403
9/8/1999,5.113
9/15/1999,5.48
9/22/1999,7.512
9/29/1999,7.403
10/6/1999,5.457
10/13/1999,5.235
10/20/1999,5.421
10/27/1999,5.206
11/3/1999,4.968
11/10/1999,4.814
11/17/1999,4.726
11/24/1999,5.34
12/1/1999,5.107
12/8/1999,4.8
12/15/1999,5.273
12/22/1999,6.206
12/29/1999,12.138
1/5/2000,20.943
1/12/2000,5.326
1/19/2000,5.39
1/26/2000,7.205
2/2/2000,6.131
2/9/2000,5.259
2/16/2000,5.306
2/23/2000,5.334
3/1/2000,5.09
3/8/2000,5.358
3/15/2000,5.457
3/22/2000,5.675
3/29/2000,5.067
4/5/2000,5.057
4/12/2000,5.462
4/19/2000,6.778
4/26/2000,12.417
5/3/2000,14.439
5/10/2000,9.068
5/17/2000,5.424
5/24/2000,5.114
5/31/2000,4.88
6/7/2000,4.656
6/14/2000,5.232
6/21/2000,7.943
6/28/2000,6.983
7/5/2000,6.159
7/12/2000,4.981
7/19/2000,5.333
7/26/2000,4.633
8/2/2000,5.106
8/9/2000,4.791
8/16/2000,5.226
8/23/2000,4.824
8/30/2000,5.245
9/6/2000,5.594
9/13/2000,4.627
9/20/2000,8.574
9/27/2000,7.357
10/4/2000,6.822
10/11/2000,5.324
10/18/2000,5.17
10/25/2000,5.278
11/1/2000,5.171
11/8/2000,5.073
11/15/2000,5.279
11/22/2000,5.175
11/29/2000,4.94
12/6/2000,5.275
12/13/2000,5.382
12/20/2000,8.105
12/27/2000,4.34
1/3/2001,5.312
1/10/2001,4.795
1/17/2001,6.529
1/24/2001,7.078
1/31/2001,8.903
2/7/2001,4.849
2/14/2001,5.023
2/21/2001,4.836
2/28/2001,4.868
3/7/2001,4.959
3/14/2001,4.893
3/21/2001,6.709
3/28/2001,4.621
4/4/2001,5.671
4/11/2001,5.01
4/18/2001,5.491
4/25/2001,6.894
5/2/2001,6.733
5/9/2001,5.053
5/16/2001,5.169
5/23/2001,4.993
5/30/2001,5.148
6/6/2001,4.796
6/13/2001,4.878
6/20/2001,5.194
6/27/2001,6.748
7/4/2001,6.444
7/11/2001,4.796
7/18/2001,4.937
7/25/2001,4.923
8/1/2001,5.231
8/8/2001,4.673
8/15/2001,5.073
8/22/2001,5.313
8/29/2001,5.001
9/5/2001,5.252
9/12/2001,5.35
9/19/2001,6.291
9/26/2001,8.462
10/3/2001,7.728
10/10/2001,5.076
10/17/2001,4.722
10/24/2001,5.321
10/31/2001,5.121
11/7/2001,4.987
11/14/2001,4.69
11/21/2001,5.603
11/28/2001,5.074
12/5/2001,5.5
12/12/2001,5.008
12/19/2001,5.864
12/26/2001,4.645
1/2/2002,5.982
1/9/2002,5.053
1/16/2002,5.712
1/23/2002,7.099
1/30/2002,9.17
2/6/2002,6.196
2/13/2002,4.976
2/20/2002,4.892
2/27/2002,4.696
3/6/2002,5.473
3/13/2002,4.801
3/20/2002,6.511
3/27/2002,5.198
4/3/2002,5.395
4/10/2002,5.008
4/17/2002,5.957
4/24/2002,6.994
5/1/2002,6.946
5/8/2002,5.145
5/15/2002,5.134
5/22/2002,4.914
5/29/2002,5.012
6/5/2002,5.338
6/12/2002,5.289
6/19/2002,5.894
6/26/2002,6.963
7/3/2002,6.148
7/10/2002,4.985
7/17/2002,5.495
7/24/2002,5.311
7/31/2002,5.779
8/7/2002,5.025
8/14/2002,4.896
8/21/2002,4.387
8/28/2002,6.013
9/4/2002,4.795
9/11/2002,5.009
9/18/2002,5.773
9/25/2002,6.832
10/2/2002,6.182
10/9/2002,5.106
10/16/2002,4.327
10/23/2002,5.064
10/30/2002,4.799
11/6/2002,5.338
11/13/2002,5.013
11/20/2002,4.868
11/27/2002,5.016
12/4/2002,4.664
12/11/2002,4.107
12/18/2002,5.959
12/25/2002,4.678
1/1/2003,5.016
1/8/2003,4.829
1/15/2003,5.244
1/22/2003,6.133
1/29/2003,7.162
2/5/2003,5.392
2/12/2003,4.681
2/19/2003,5.048
2/26/2003,5.249
3/5/2003,4.909
3/12/2003,5.196
3/19/2003,4.979
3/26/2003,5.916
4/2/2003,5.654
4/9/2003,6.528
4/16/2003,6.47
4/23/2003,8.927
4/30/2003,8.763
5/7/2003,7.113
5/14/2003,7.139
5/21/2003,6.899
5/28/2003,5.543
6/4/2003,6.487
6/11/2003,6.515
6/18/2003,7.147
6/25/2003,7.199
7/2/2003,6.087
7/9/2003,6.218
7/16/2003,6.479
7/23/2003,6.067
7/30/2003,6.205
8/6/2003,5.639
8/13/2003,5.611
8/20/2003,5.644
8/27/2003,5.974
9/3/2003,4.843
9/10/2003,4.745
9/17/2003,6.084
9/24/2003,7.54
10/1/2003,6.922
10/8/2003,5.185
10/15/2003,3.745
10/22/2003,5.403
10/29/2003,5.125
11/5/2003,5.68
11/12/2003,4.876
11/19/2003,4.651
11/26/2003,5.223
12/3/2003,5.437
12/10/2003,4.974
12/17/2003,5.622
12/24/2003,4.701
12/31/2003,5.85
1/7/2004,5.319
1/14/2004,4.886
1/21/2004,7.374
1/28/2004,5.153
2/4/2004,4.901
2/11/2004,5.352
2/18/2004,4.984
2/25/2004,5.147
3/3/2004,5.618
3/10/2004,5.527
3/17/2004,5.737
3/24/2004,5.371
3/31/2004,5.246
4/7/2004,5.01
4/14/2004,5.158
4/21/2004,6.63
4/28/2004,7.444
5/5/2004,6.025
5/12/2004,5.435
5/19/2004,5.333
5/26/2004,5.212
6/2/2004,4.092
6/9/2004,4.698
6/16/2004,6.195
6/23/2004,7.034
6/30/2004,5.961
7/7/2004,4.541
7/14/2004,4.834
7/21/2004,5.509
7/28/2004,4.956
8/4/2004,4.701
8/11/2004,5.064
8/18/2004,4.456
8/25/2004,4.789
9/1/2004,5.297
9/8/2004,4.91
9/15/2004,5.261
9/22/2004,6.979
9/29/2004,5.118
10/6/2004,5.334
10/13/2004,4.682
10/20/2004,5.232
10/27/2004,4.948
11/3/2004,5.275
11/10/2004,5.012
11/17/2004,4.824
11/24/2004,4.419
12/1/2004,5.217
12/8/2004,4.986
12/15/2004,5.047
12/22/2004,5.133
12/29/2004,4.631
1/5/2005,5.65
1/12/2005,5.145
1/19/2005,4.781
1/26/2005,5.252
2/2/2005,5.07
2/9/2005,4.913
2/16/2005,4.924
