,id,year,month,cons_sent_zscore,cons_sent_chg_zscore
0,195211,1952,11,-0.003590980158190212,
1,195302,1953,2,0.36043329002975366,1.075885277809027
2,195308,1953,8,-0.4404201043837233,-2.3413503406297576
3,195311,1953,11,-0.4485095326101216,-0.015731655858916272
4,195402,1954,2,-0.343346965666938,0.31649958482263013
5,195405,1954,5,-0.2705421116293488,0.22157637319933257
6,195411,1954,11,0.06112444565299958,0.9809620661857261
7,195502,1955,2,0.781083557802489,2.120040605665323
8,195505,1955,5,1.0399452610472482,0.7673848400333009
9,195511,1955,11,1.0884818304056414,0.1503839644818586
10,195605,1956,5,0.9671404070096601,-0.34796289654046597
11,195608,1956,8,1.104660686858439,0.411422796445931
12,195611,1956,11,1.1289289715376352,0.07919155576438124
13,195705,1957,5,0.5384007110105264,-1.7243494650783087
14,195711,1957,11,-0.20582668581815902,-2.175234720288983
15,195802,1958,2,-0.6264769535908944,-1.2260026040559875
16,195805,1958,5,-0.43233067615732385,0.5775384167867058
17,195811,1958,11,0.3685227182561519,2.357348634723569
18,195905,1959,5,0.7325469884440958,1.075885277809027
19,195911,1959,11,0.6112055650481145,-0.34796289654046597
20,196002,1960,2,1.1127501150848373,1.4793089272080506
21,196005,1960,5,0.5707584239161207,-1.5819646476433606
22,196008,1960,8,0.8862461247456725,0.9335004603740791
23,196011,1960,11,0.31189672067136043,-1.6768878592666616
24,196102,1961,2,0.43323814406734173,0.36396119063428056
25,196105,1961,5,0.5060429981049309,0.22157637319933257
26,196108,1961,8,1.0480346892736476,1.5979629417371752
27,196111,1961,11,0.5464901392369247,-1.4633106331142363
28,196202,1962,2,1.104660686858439,1.6454245475488256
29,196205,1962,5,0.7406364166704952,-1.0598869837152125
30,196208,1962,8,0.43323814406734173,-0.8937713633744411
31,196211,1962,11,0.7082787037648998,0.8148464458449547
32,196302,1963,2,0.9833192634624578,0.8148464458449547
33,196305,1963,5,0.44132757229374114,-1.5819646476433606
34,196308,1963,8,0.8215306989344827,1.1233468836206775
35,196311,1963,11,0.6597421344065076,-0.4666169110695904
36,196402,1964,2,1.0723029739528436,1.218270095243975
37,196405,1964,5,0.991408691688856,-0.22930888201134159
38,196408,1964,8,1.1612866844432295,0.5063460080692285
39,196411,1964,11,1.104660686858439,-0.15811647329386425
40,196502,1965,2,1.2745386796128124,0.5063460080692285
41,196505,1965,5,1.5495792393103704,0.8148464458449547
42,196508,1965,8,1.3877906747823954,-0.4666169110695904
43,196511,1965,11,1.3473435336504016,-0.11065486748221716
44,196602,1966,2,1.1127501150848373,-0.6801941372220157
45,196605,1966,5,0.7649047013496912,-1.0124253779035621
46,196608,1966,8,0.4008804311617474,-1.0598869837152125
47,196611,1966,11,0.16628701259618311,-0.6801941372220157
48,196702,1967,2,0.6354738497273105,1.3843857155847499
49,196705,1967,5,0.781083557802489,0.4351535993517579
50,196708,1967,8,0.8700672682928748,0.26903797901097964
51,196711,1967,11,0.5384007110105264,-0.9649637720919116
52,196802,1968,2,0.8862461247456725,1.0284236719973765
53,196805,1968,5,0.4979535698785327,-1.1310793924326865
54,196808,1968,8,0.4979535698785327,0.007999147046907264
55,196811,1968,11,0.44132757229374114,-0.1581164732938676
56,196902,1969,2,0.9671404070096601,1.5505013359255246
57,196905,1969,5,0.42514871584094344,-1.5819646476433606
58,196908,1969,8,0.012587876294607522,-1.2022718011501605
59,196911,1969,11,-0.5294038148741091,-1.5819646476433606
60,197002,1970,2,-0.6588346664964898,-0.3716936994462929
61,197005,1970,5,-0.8772492286092552,-0.6327325314103619
62,197008,1970,8,-0.6992818076284836,0.530076810975052
63,197011,1970,11,-1.1199320754012179,-1.2260026040559842
64,197102,1971,2,-0.6588346664964898,1.360654912678923
65,197105,1971,5,-0.4889566737421153,0.5063460080692318
66,197108,1971,8,-0.33525753744053977,0.45888440225757804
67,197111,1971,11,-0.343346965666938,-0.015731655858916272
68,197202,1972,2,0.530311282784127,2.570925860875994
69,197205,1972,5,0.19055529727537915,-0.9886945749977386
70,197208,1972,8,0.7244575602176975,1.5742321388313516
71,197211,1972,11,0.36043329002975366,-1.0598869837152125
72,197302,1973,2,-0.3514363938933363,-2.080311508665682
73,197305,1973,5,-0.7478183769868756,-1.1548101953385135
74,197308,1973,8,-1.1522897883068133,-1.178540998244337
75,197311,1973,11,-0.7882655181188694,1.075885277809027
76,197402,1974,2,-1.9774114673994863,-3.4804288801093515
77,197405,1974,5,-1.144200360080415,2.4522718463468696
78,197408,1974,8,-1.767086333513118,-1.819272676701606
79,197411,1974,11,-2.1634683166066573,-1.1548101953385135
80,197502,1975,2,-2.3171674529082336,-0.44288610816376517
81,197505,1975,5,-1.0875743624956236,3.6150811887322885
82,197508,1975,8,-0.8529809439300592,0.6961924313158302
83,197511,1975,11,-0.8610703721564587,-0.015731655858919644
84,197602,1976,2,-0.13302183178057095,2.143771408571147
85,197605,1976,5,-0.2381843987237545,-0.30050129072881554
86,197608,1976,8,0.2795390077657661,1.5267705330197012
87,197611,1976,11,0.06112444565299958,-0.6327325314103653
88,197702,1977,2,0.06921387387939787,0.0317299499527308
89,197705,1977,5,0.3199861488977599,0.7436540371274807
90,197708,1977,8,0.22291301018097462,-0.276770487822992
91,197711,1977,11,-0.14920068823336752,-1.0836177866210361
92,197801,1978,1,-0.20582668581815902,-0.1581164732938676
93,197802,1978,2,-0.15729011645976695,0.1503839644818552
94,197803,1978,3,-0.6022086689116983,-1.2971950127734615
95,197804,1978,4,-0.3757046785725335,0.6724616284100033
96,197805,1978,5,-0.2705421116293488,0.31649958482263346
97,197806,1978,6,-0.5051355301949131,-0.6801941372220157
98,197807,1978,7,-0.31098925276134254,0.5775384167867058
99,197808,1978,8,-0.6345663818172926,-0.9412329691860881
100,197809,1978,9,-0.4727778172893176,0.4826152051634049
101,197810,1978,10,-0.5617615277797046,-0.2530396849171685
102,197811,1978,11,-0.9096069415148507,-1.0124253779035621
103,197812,1978,12,-1.6295660536643402,-2.104042311571509
104,197901,1979,1,-1.144200360080415,1.4318473213964003
105,197902,1979,2,-0.9985906520052364,0.4351535993517579
106,197903,1979,3,-1.4435092044571678,-1.2971950127734615
107,197904,1979,4,-1.6376554818907383,-0.5615401226928913
108,197905,1979,5,-1.467777489136365,0.5063460080692285
109,197906,1979,6,-1.653834338343536,-0.5378093197870645
110,197907,1979,7,-2.0906634625690685,-1.273464209867636
111,197908,1979,8,-1.7589969052867196,0.9809620661857278
112,197909,1979,9,-1.581029484305947,0.5300768109750553
113,197910,1979,10,-1.9531431827202896,-1.0836177866210377
114,197911,1979,11,-1.856070044003505,0.2927687819168049
115,197912,1979,12,-2.042126893210676,-0.5378093197870645
116,198001,1980,1,-1.5567611996267507,1.4318473213964003
117,198002,1980,2,-1.564850627853149,-0.015731655858916272
118,198003,1980,3,-2.40615116339862,-2.460004355158882
119,198004,1980,4,-2.713549436001772,-0.8937713633744377
120,198005,1980,5,-2.7944437182657595,-0.22930888201134159
121,198006,1980,6,-2.2281837424178472,1.6691553504546492
122,198007,1980,7,-1.9369643262674925,0.8623080516566017
123,198008,1980,8,-1.5324929149475548,1.1945392923381515
124,198009,1980,9,-1.0147695084580342,1.5267705330197012
125,198010,1980,10,-0.9096069415148507,0.31649958482263013
126,198011,1980,11,-0.7720866616660716,0.411422796445931
127,198012,1980,12,-1.7589969052867196,-2.8871588074637295
128,198101,1981,1,-1.2008263576652054,1.6454245475488256
129,198102,1981,2,-1.564850627853149,-1.0598869837152125
130,198103,1981,3,-1.5972083407587445,-0.08692406457639362
131,198104,1981,4,-1.1199320754012179,1.4081165184905768
132,198105,1981,5,-0.8044443745716672,0.9335004603740757
133,198106,1981,6,-1.0633060778164274,-0.7513865459394897
134,198107,1981,7,-0.98241179555244,0.24530717610515612
135,198108,1981,8,-0.7316395205340779,0.7436540371274807
136,198109,1981,9,-1.0633060778164274,-0.9649637720919151
137,198110,1981,10,-1.2898100681555922,-0.6564633343161889
138,198111,1981,11,-1.9207854698146947,-1.843003479607433
139,198112,1981,12,-1.7751757617395174,0.4351535993517545
140,198201,1982,1,-1.2331840705708008,1.5979629417371752
141,198202,1982,2,-1.5972083407587445,-1.0598869837152125
142,198203,1982,3,-1.9612326109466884,-1.0598869837152125
143,198204,1982,4,-1.678102623022732,0.8385772487507782
144,198205,1982,5,-1.5163140584947572,0.4826152051634049
145,198206,1982,6,-1.6619237665699345,-0.41915530525794
146,198207,1982,7,-1.6861920512491304,-0.06319326167056673
147,198208,1982,8,-1.6861920512491304,0.007999147046907264
148,198209,1982,9,-1.3707043504195797,0.9335004603740757
149,198210,1982,10,-1.0390377931372303,0.9809620661857296
150,198211,1982,11,-1.144200360080415,-0.3005012907288189
151,198212,1982,12,-1.1603792165332116,-0.039462458764739805
152,198301,1983,1,-1.2817206399291927,-0.34796289654046597
153,198302,1983,2,-0.9419646544204462,1.0046928690915498
154,198303,1983,3,-0.4404201043837233,1.4793089272080506
155,198304,1983,4,0.23100243840737292,1.977655788230372
156,198305,1983,5,0.5707584239161207,1.004692869091553
157,198306,1983,6,0.4817747134257349,-0.2530396849171651
158,198307,1983,7,0.530311282784127,0.1503839644818552
159,198308,1983,8,0.37661214648255137,-0.4428861081637635
160,198309,1983,9,0.29571786421856383,-0.22930888201134159
161,198310,1983,10,0.24718129486017065,-0.13438567038804408
162,198311,1983,11,0.39279100293534797,0.4351535993517545
163,198312,1983,12,0.6435632779537099,0.7436540371274807
164,198401,1984,1,1.1208395433112357,1.4081165184905733
165,198402,1984,2,0.9024249811984703,-0.6327325314103619
166,198403,1984,3,1.1936443973488249,0.8623080516566017
167,198404,1984,4,0.7972624142552855,-1.1548101953385135
168,198405,1984,5,0.9590509787832606,0.4826152051634049
169,198406,1984,6,0.7487258448968935,-0.6090017285045384
170,198407,1984,7,0.8377095553872793,0.26903797901097964
171,198408,1984,8,1.0399452610472482,0.6012692196925293
172,198409,1984,9,1.1855549691224265,0.4351535993517579
173,198410,1984,10,0.8134412707080833,-1.0836177866210395
174,198411,1984,11,0.7649047013496912,-0.1343856703880407
175,198412,1984,12,0.5384007110105264,-0.6564633343161889
176,198501,1985,1,0.7891729860288873,0.7436540371274774
177,198502,1985,2,0.6031161368217162,-0.5378093197870645
178,198503,1985,3,0.6031161368217162,0.007999147046907264
179,198504,1985,4,0.6759209908593042,0.22157637319932919
180,198505,1985,5,0.44941700052013944,-0.6564633343161889
181,198506,1985,6,0.8296201271608811,1.1233468836206775
182,198507,1985,7,0.6273844215009122,-0.5852709255987149
183,198508,1985,8,0.4979535698785327,-0.3716936994462895
184,198509,1985,9,0.47368528519933545,-0.0631932616705701
185,198510,1985,10,0.17437644082258258,-0.8700405604686108
186,198511,1985,11,0.37661214648255137,0.6012692196925293
187,198512,1985,12,0.619294993274514,0.7199232342216537
188,198601,1986,1,0.7568152731232918,0.4114227964459276
189,198602,1986,2,0.781083557802489,0.07919155576438461
190,198603,1986,3,0.716368131991298,-0.1818472761996945
191,198604,1986,4,0.805351842481685,0.26903797901098303
192,198605,1986,5,0.6920998473121021,-0.32423209363464245
193,198606,1986,6,1.0561241175000458,1.075885277809027
194,198607,1986,7,0.9266932658776663,-0.3716936994462895
195,198608,1986,8,0.7001892755385014,-0.6564633343161889
196,198609,1986,9,0.4575064287465389,-0.7039249401278393
197,198610,1986,10,0.7568152731232918,0.8860388545624253
198,198611,1986,11,0.41705928761454514,-0.9886945749977352
199,198612,1986,12,0.23100243840737292,-0.5378093197870678
200,198701,1987,1,0.3361650053505576,0.31649958482263346
201,198702,1987,2,0.3199861488977599,-0.03946245876474318
202,198703,1987,3,0.3685227182561519,0.1503839644818552
203,198704,1987,4,0.530311282784127,0.4826152051634049
204,198705,1987,5,0.39279100293534797,-0.3954245023521164
205,198706,1987,6,0.42514871584094344,0.10292235867020814
206,198707,1987,7,0.6031161368217162,0.5300768109750553
207,198708,1987,8,0.6597421344065076,0.1741147673876821
208,198709,1987,9,0.5950267085953168,-0.1818472761996945
209,198710,1987,10,0.24718129486017065,-1.0124253779035621
210,198711,1987,11,-0.2543632551765522,-1.4633106331142363
211,198712,1987,12,0.04494558920020184,0.8860388545624286
212,198801,1988,1,0.3685227182561519,0.9572312632799026
213,198802,1988,2,0.43323814406734173,0.19784557029350566
214,198803,1988,3,0.6759209908593042,0.7199232342216537
215,198804,1988,4,0.4008804311617474,-0.7988481517511368
216,198805,1988,5,0.6920998473121021,0.8623080516566017
217,198806,1988,6,0.6840104190857037,-0.015731655858916272
218,198807,1988,7,0.5788478521425202,-0.30050129072881554
219,198808,1988,8,0.9024249811984703,0.9572312632799026
220,198809,1988,9,0.8943355529720708,-0.015731655858919644
221,198810,1988,10,0.6354738497273105,-0.7513865459394897
222,198811,1988,11,0.5464901392369247,-0.2530396849171651
223,198812,1988,12,0.4575064287465389,-0.2530396849171651
224,198901,1989,1,0.942872122330464,1.4318473213964003
225,198902,1989,2,0.7406364166704952,-0.5852709255987149
226,198903,1989,3,0.6516527061801083,-0.2530396849171685
227,198904,1989,4,0.42514871584094344,-0.6564633343161889
228,198905,1989,5,0.36043329002975366,-0.18184727619969115
229,198906,1989,6,0.3523438618033542,-0.015731655858919644
230,198907,1989,7,0.4655958569729372,0.34023038772845704
231,198908,1989,8,0.27144957953936666,-0.5615401226928913
232,198909,1989,9,0.7729941295760895,1.4793089272080506
233,198910,1989,10,0.619294993274514,-0.4428861081637635
234,198911,1989,11,0.37661214648255137,-0.7039249401278393
235,198912,1989,12,0.3442544335769559,-0.08692406457639362
236,199001,1990,1,0.5464901392369247,0.6012692196925293
237,199002,1990,2,0.26336015131296836,-0.8225789546569637
238,199003,1990,3,0.4089698593881457,0.4351535993517545
239,199004,1990,4,0.619294993274514,0.6250000225983563
240,199005,1990,5,0.3523438618033542,-0.7751173488453167
241,199006,1990,6,0.16628701259618311,-0.5378093197870645
242,199007,1990,7,0.15819758436978484,-0.015731655858916272
243,199008,1990,8,-0.7963549463452677,-2.7922355958404284
244,199009,1990,9,-1.0875743624956236,-0.8463097575627906
245,199010,1990,10,-1.8075334746451124,-2.104042311571507
246,199011,1990,11,-1.6376554818907383,0.5063460080692301
247,199012,1990,12,-1.678102623022732,-0.11065486748221716
248,199101,1991,1,-1.5729400560795486,0.31649958482263013
249,199102,1991,2,-1.2817206399291927,0.8623080516566051
250,199103,1991,3,0.11775044323779107,4.113428049754612
251,199104,1991,4,-0.35952582211973577,-1.3921182243967622
252,199105,1991,5,-0.6426558100436921,-0.8225789546569637
253,199106,1991,6,-0.33525753744053977,0.9097696574682521
254,199107,1991,7,-0.2705421116293488,0.19784557029350902
255,199108,1991,8,-0.343346965666938,-0.20557807910551806
256,199109,1991,9,-0.2624526834029505,0.24530717610515612
257,199110,1991,10,-0.6426558100436921,-1.107348589526863
258,199111,1991,11,-1.3868832068723775,-2.175234720288983
259,199112,1991,12,-1.4596880609099656,-0.20557807910551468
260,199201,1992,1,-1.5163140584947572,-0.1581164732938676
261,199202,1992,2,-1.4111514915515735,0.31649958482263013
262,199203,1992,3,-0.8287126592508631,1.7166169562662996
263,199204,1992,4,-0.7316395205340779,0.29276878191680655
264,199205,1992,5,-0.5698509560061029,0.4826152051634049
265,199206,1992,6,-0.4727778172893176,0.29276878191680655
266,199207,1992,7,-0.7801760898924711,-0.8937713633744411
267,199208,1992,8,-0.8206232310244649,-0.11065486748221716
268,199209,1992,9,-0.8610703721564587,-0.11065486748221716
269,199210,1992,10,-1.0471272213636298,-0.5378093197870645
270,199211,1992,11,-0.07639583419577944,2.8556954957458935
271,199212,1992,12,0.38470157470894967,1.3606549126789262
272,199301,1993,1,0.24718129486017065,-0.3954245023521164
273,199302,1993,2,0.028766732747404107,-0.6327325314103653
274,199303,1993,3,-0.02785926483738624,-0.15811647329386425
275,199304,1993,4,-0.05212754951658342,-0.0631932616705701
276,199305,1993,5,-0.480867245515717,-1.249733406961811
277,199306,1993,6,-0.3837941067989318,0.29276878191680655
278,199307,1993,7,-0.7478183769868756,-1.0598869837152125
279,199308,1993,8,-0.7235500923076796,0.07919155576438124
280,199309,1993,9,-0.6750135229492864,0.1503839644818586
281,199310,1993,10,-0.28672096808214653,1.147077686526501
282,199311,1993,11,-0.40806239147812784,-0.34796289654046597
283,199312,1993,12,0.15819758436978484,1.6691553504546492
284,199401,1994,1,0.6516527061801083,1.4555781243022239
285,199402,1994,2,0.5626689956897224,-0.2530396849171651
286,199403,1994,3,0.42514871584094344,-0.3954245023521164
287,199404,1994,4,0.5141324263313293,0.26903797901097964
288,199405,1994,5,0.530311282784127,0.055460752858557706
289,199406,1994,6,0.4008804311617474,-0.3716936994462895
290,199407,1994,7,0.22291301018097462,-0.514078516881241
291,199408,1994,8,0.44132757229374114,0.6487308255041798
292,199409,1994,9,0.42514871584094344,-0.03946245876474318
293,199410,1994,10,0.5222218545577286,0.29276878191680655
294,199411,1994,11,0.43323814406734173,-0.2530396849171685
295,199412,1994,12,0.716368131991298,0.8385772487507782
296,199501,1995,1,0.9186038376512669,0.6012692196925293
297,199502,1995,2,0.716368131991298,-0.5852709255987149
298,199503,1995,3,0.3280755771241582,-1.1310793924326865
299,199504,1995,4,0.5060429981049309,0.5300768109750553
300,199505,1995,5,0.2876284359921644,-0.6327325314103653
301,199506,1995,6,0.5222218545577286,0.6961924313158302
302,199507,1995,7,0.6597421344065076,0.411422796445931
303,199508,1995,8,0.805351842481685,0.4351535993517545
304,199509,1995,9,0.21482358195457632,-1.7243494650783087
305,199510,1995,10,0.3199861488977599,0.31649958482263013
306,199511,1995,11,0.15819758436978484,-0.4666169110695904
307,199512,1995,12,0.38470157470894967,0.6724616284100033
308,199601,1996,1,0.24718129486017065,-0.3954245023521164
309,199602,1996,2,0.18246586904898085,-0.18184727619969115
310,199603,1996,3,0.6031161368217162,1.2420008981498019
311,199604,1996,4,0.5222218545577286,-0.22930888201134159
